                  acousticness  danceability  duration_ms    energy  instrumentalness       key  liveness  loudness      mode  speechiness     tempo  time_signature  track_popularity   valence
acousticness          1.000207     -0.381318    -0.125131 -0.751178          0.511804 -0.021501 -0.136997 -0.647398  0.052126    -0.119197 -0.173051       -0.199106         -0.233087 -0.351718
danceability         -0.381318      1.000207    -0.140745  0.387217         -0.349568  0.024572  0.000984  0.557932 -0.122744     0.256309  0.019802        0.199493          0.128472  0.513714
duration_ms          -0.125131     -0.140745     1.000207  0.125348         -0.141090 -0.000418 -0.002964  0.070681  0.030252    -0.096676  0.032071       -0.018877          0.021198 -0.036013
energy               -0.751178      0.387217     0.125348  1.000207         -0.564894  0.040002  0.192652  0.798993 -0.079151     0.133931  0.197645        0.196918          0.195023  0.491818
instrumentalness      0.511804     -0.349568    -0.141090 -0.564894          1.000207 -0.024980 -0.119160 -0.641841  0.025429    -0.209171 -0.124888       -0.139113         -0.263188 -0.427741
key                  -0.021501      0.024572    -0.000418  0.040002         -0.024980  1.000207  0.007333  0.045839 -0.149986     0.016735  0.013778       -0.003709          0.028709  0.033481
liveness             -0.136997      0.000984    -0.002964  0.192652         -0.119160  0.007333  1.000207  0.154254 -0.014234     0.097289  0.047025        0.029172          0.022283  0.067179
loudness             -0.647398      0.557932     0.070681  0.798993         -0.641841  0.045839  0.154254  1.000207 -0.097102     0.178735  0.161902        0.217944          0.217470  0.471390
mode                  0.052126     -0.122744     0.030252 -0.079151          0.025429 -0.149986 -0.014234 -0.097102  1.000207    -0.087344  0.007654       -0.003079          0.003386 -0.062318
speechiness          -0.119197      0.256309    -0.096676  0.133931         -0.209171  0.016735  0.097289  0.178735 -0.087344     1.000207  0.064001        0.108641          0.019055  0.161473
tempo                -0.173051      0.019802     0.032071  0.197645         -0.124888  0.013778  0.047025  0.161902  0.007654     0.064001  1.000207       -0.009585          0.060059  0.088135
time_signature       -0.199106      0.199493    -0.018877  0.196918         -0.139113 -0.003709  0.029172  0.217944 -0.003079     0.108641 -0.009585        1.000207          0.003295  0.140105
track_popularity     -0.233087      0.128472     0.021198  0.195023         -0.263188  0.028709  0.022283  0.217470  0.003386     0.019055  0.060059        0.003295          1.000207  0.096797
valence              -0.351718      0.513714    -0.036013  0.491818         -0.427741  0.033481  0.067179  0.471390 -0.062318     0.161473  0.088135        0.140105          0.096797  1.000207
